gene_id	Ex	In	Pro	CP	GZ	dgDPAU_bulk	Type	dgDPAU_sc
70	LINC01128	0.605769230769231	0.5	0.479166666666667	0.826441718584306	0.673487636991287	0.15295408159302	lengthen	0.126602564102564
71	LPAR1	NA	NA	0.65	0.81637415580505	0.713004683083534	0.103369472721516	lengthen	NA
72	LPL	0.781333333333333	NA	0.372549019607843	0.946222638667127	0.833520829300438	0.112701809366689	lengthen	0.40878431372549
73	MAP4	0.33256351039261	0.5	0.375114784205693	0.401847221987754	0.754921217604909	-0.353073995617155	shorten	-0.042551273813083
74	MAPRE2	0.681222707423581	0.791666666666667	0.662650602409639	0.756476357382106	0.653027988191729	0.103448369190377	lengthen	0.018572105013942
75	MAPT	0.635998539612997	0.679775280898876	0.588541666666667	0.772757155935477	0.408484401653801	0.364272754281676	lengthen	0.0474568729463301
76	MASP1	0.504201680672269	NA	0.448717948717949	0.522263583151177	0.865361495309024	-0.343097912157847	shorten	0.05548373195432
77	MRPL35	0.460144927536232	0.5	0.576502732240437	0.510885224582686	0.358068643052679	0.152816581530007	lengthen	-0.116357804704205
78	MRTFB	0.267857142857143	NA	0.881578947368421	0.50344067146695	0.659602625588142	-0.156161954121191	shorten	-0.613721804511278
79	MYT1L	0.505801104972376	0.408333333333333	0.653846153846154	0.783089214865222	0.633068904545546	0.150020310319676	lengthen	-0.148045048873778
80	NAA30	0.668367346938776	0.75	0.75	0.752862555033247	0.640735897496623	0.112126657536624	lengthen	-0.081632653061224
81	NEDD9	0.532051282051282	NA	0.433823529411765	0.860533806431829	0.732116834372707	0.128416972059123	lengthen	0.0982277526395171
82	NMRK1	0.725490196078431	NA	1	0.71455845380264	0.444669913419913	0.269888540382726	lengthen	-0.274509803921569
83	OBSL1	0.216981132075472	0.45	0.229166666666667	0.407776901782764	0.300524715817429	0.107252185965335	lengthen	-0.012185534591195
84	OPA1	0.451345755693582	0.418367346938775	0.42155612244898	0.598243318256642	0.479686818271438	0.118556499985205	lengthen	0.029789633244602
85	PALM2AKAP2	0.554022988505747	0.6	0.630769230769231	0.535987784087938	0.656694072066743	-0.120706287978805	shorten	-0.0767462422634839
86	PDE4DIP	0.38941504178273	0.429508196721311	0.433566433566434	0.772279530981781	0.492879319127636	0.279400211854145	lengthen	-0.044151391783704
87	PIK3C2A	0	0	1	0.534511784511784	0.735042735042735	-0.200530950530951	shorten	-1
88	PKNOX1	0.583333333333333	NA	0.53125	0.857571486839077	0.70110188339364	0.156469603445437	lengthen	0.052083333333333
89	PLXNA4	0.688271604938272	NA	0.69047619047619	0.577886771887904	0.378703703703704	0.1991830681842	lengthen	-0.00220458553791802
90	PML	0.638888888888889	1	0.291666666666667	0.735626645224621	0.591464766493358	0.144161878731263	lengthen	0.347222222222222
91	PNKD	0.00571428571428571	0	0.0233918128654971	0.885930438090124	0.572883909853249	0.313046528236875	lengthen	-0.0176775271512114
92	POLR2M	0.587962962962963	0.37037037037037	0.542553191489362	0.488388958403645	0.614909339149045	-0.1265203807454	shorten	0.045409771473601
93	PPP6R3	0.75	NA	0.823529411764706	0.655690693785932	0.535821541490021	0.119869152295911	lengthen	-0.073529411764706
94	PRDM2	0.457169459962756	0.55	0.330601092896175	0.93244824804845	0.761360462014947	0.171087786033503	lengthen	0.126568367066581
95	PSMD12	0.264492753623188	0.0636363636363636	0.242735042735043	0.722781805464627	0.617153243004003	0.105628562460623	lengthen	0.021757710888145
96	PSMD8	0.331269349845201	0.506329113924051	0.209964412811388	0.574344299960264	0.435838800374883	0.138505499585381	lengthen	0.121304937033813
97	PSMD9	0.102150537634409	0	0.0482758620689655	0.421744351213226	0.173362611506941	0.248381739706285	lengthen	0.0538746755654435
98	PTPN2	0.419291338582677	0.5625	0.660714285714286	0.58915712626514	0.726125771848304	-0.136968645583164	shorten	-0.241422947131609
99	QKI	NA	NA	0.766666666666667	0.941491841491842	0.799412772413648	0.142079069078193	lengthen	NA
100	RAB6B	0.497835497835498	0.666666666666667	0.262626262626263	0.618783987781519	0.44937529861438	0.169408689167139	lengthen	0.235209235209235
101	RAE1	0.658097686375321	0.618421052631579	0.47008547008547	0.652929173107053	0.340793774832979	0.312135398274074	lengthen	0.188012216289851
102	RASA4	0.479591836734694	0.5	0.53125	0.22401952709261	0.105527351762388	0.118492175330221	lengthen	-0.051658163265306
103	RGS6	0.642857142857143	NA	0	0.5646032405484	0.416919959473151	0.14768328107525	lengthen	0.642857142857143
104	RPS6KB1	0.275	0.466666666666667	0.327272727272727	0.522447323917912	0.283053766761128	0.239393557156784	lengthen	-0.052272727272727
105	SEPTIN8	0.894736842105263	1	0.2	0.752388032801658	0.548464119151608	0.20392391365005	lengthen	0.694736842105263
106	SH3GLB1	0.517874396135266	0.444444444444444	0.551587301587302	0.548342543273419	0.344049452564304	0.204293090709115	lengthen	-0.033712905452036
107	SLC1A6	0.69047619047619	NA	0	0.622043939416002	0.251844823951086	0.370199115464916	lengthen	0.69047619047619
108	SLC35A3	0.5	NA	0.576923076923077	0.499803921568627	0.17039442039442	0.329409501174207	lengthen	-0.076923076923077
109	SLC35E2B	0.54746835443038	0.694444444444444	0.5625	0.940617436649183	0.826863555043004	0.113753881606179	lengthen	-0.01503164556962
110	SLF1	0.572254335260116	0.345454545454545	0.466942148760331	0.373051188934843	0.243386243386243	0.1296649455486	lengthen	0.105312186499785
111	SLIT1	0.232142857142857	NA	NA	0.904010052447552	0.611729117876659	0.292280934570894	lengthen	NA
112	SNX13	0.535087719298246	0.5	0.544117647058823	0.430203477078477	0.224588278666425	0.205615198412053	lengthen	-0.00902992776057709
113	SORD	0.516666666666667	NA	0.6	0.230548794725365	0.0846255423504999	0.145923252374865	lengthen	-0.0833333333333329
114	SPIRE1	0.407407407407407	0	0.379379379379379	0.799850518773372	0.644748784113193	0.155101734660179	lengthen	0.028028028028028
115	SSX2IP	0.388984509466437	0.714285714285714	0.465045592705167	0.665185349637476	0.53540161296869	0.129783736668785	lengthen	-0.07606108323873
116	SYNE2	0.514317438055166	0.660714285714286	0.443084118577619	0.622323655711331	0.434146716384254	0.188176939327077	lengthen	0.0712333194775471
117	SYNRG	0.263125	0.361111111111111	0.266666666666667	0.342516155145247	0.498682790726353	-0.156166635581106	shorten	-0.003541666666667
118	SYP	0.671296296296296	0.916666666666667	0.78030303030303	0.75827680422084	0.302641802641803	0.455635001579038	lengthen	-0.109006734006734
119	TADA2A	0.30421686746988	0.423076923076923	0.141891891891892	0.621500575740752	0.404401514304375	0.217099061436378	lengthen	0.162324975577988
120	TBC1D1	0.538888888888889	NA	0.373770491803279	0.677214578240247	0.549293466476449	0.127921111763799	lengthen	0.16511839708561
121	TBCCD1	0.5	1	0.590909090909091	0.331891415224749	0.483795300665811	-0.151903885441062	shorten	-0.0909090909090911
122	TCP1	0.654979674796748	0.623376623376623	0.631504922644163	0.382012537990241	0.279919584756118	0.102092953234123	lengthen	0.023474752152585
123	TFDP2	0.594951923076923	NA	0.576030927835052	0.574301380838718	0.454960791649131	0.119340589189587	lengthen	0.018920995241871
124	TOM1L1	0.0714285714285714	NA	0.892857142857143	0.284420289855072	0.925012569130216	-0.640592279275144	shorten	-0.821428571428572
125	TPM1	0.548941798941799	0.457516339869281	0.69029374201788	0.866995004924912	0.710568651328989	0.156426353595923	lengthen	-0.141351943076081
126	TRMT1L	0.566666666666667	NA	0.181818181818182	0.759302425969093	0.569334369334369	0.189968056634723	lengthen	0.384848484848485
127	UBE2J1	0.49317617866005	0.445512820512821	0.413173652694611	0.657295663542768	0.556572033795733	0.100723629747035	lengthen	0.080002525965439
128	UBL3	0.472222222222222	0.333333333333333	0.509523809523809	0.733413767302656	0.592856939503709	0.140556827798947	lengthen	-0.0373015873015871
129	USP15	0.522988505747126	0.416666666666667	0.56875	0.642798707897554	0.527217543738058	0.115581164159496	lengthen	-0.045761494252874
130	VDAC2	0.402872260015117	0.267441860465116	0.326352530541012	0.591895139894326	0.423845632799917	0.168049507094409	lengthen	0.076519729474105
131	VPS13C	0.386153846153846	0.294871794871795	0.43543956043956	0.549282446265758	0.703791170186834	-0.154508723921076	shorten	-0.049285714285714
132	WDR13	0.0651515151515151	0.126984126984127	0.025	0.316166507253308	0.124556977017538	0.19160953023577	lengthen	0.0401515151515151
133	WDR35	0.625	NA	0	0.558333333333333	0.893143358876118	-0.334810025542784	shorten	0.625
134	ZDHHC3	0.387931034482759	1	0.544117647058823	0.076035476282911	0.281305515985182	-0.205270039702271	shorten	-0.156186612576064
135	ZNF34	0.228571428571429	0.666666666666667	0.294871794871795	0.210023137803994	0.431365645085398	-0.221342507281404	shorten	-0.066300366300366
136	ZNF484	0.573529411764706	0.125	0.466666666666667	0.604551021199085	0.388015954124794	0.216535067074291	lengthen	0.106862745098039
137	ZNF706	0.583333333333333	0.552631578947368	0.571090047393365	0.888580447511837	0.736473748854151	0.152106698657686	lengthen	0.012243285939968
