Gene	Type
ABLIM2	schizophrenia
AKAP12	schizophrenia
GMEB1	schizophrenia
ZYG11B	schizophrenia
ENTPD4	schizophrenia
CSTF3	schizophrenia
C22orf39	schizophrenia
SPAG5	schizophrenia
RABIF	schizophrenia
POLR2K	schizophrenia
CACNA1C	schizophrenia
INTS6	schizophrenia
MAP7	schizophrenia
SLC52A2	schizophrenia
FGFBP2	schizophrenia
SP140L	schizophrenia
TERF1	schizophrenia
OR52E4	schizophrenia
ZSCAN10	schizophrenia
DEXI	schizophrenia
CTBP1	schizophrenia
SPHK2	schizophrenia
CRAMP1L	schizophrenia
KLHL5	schizophrenia
PKN2	schizophrenia
DCAF5	schizophrenia
KLHL1	schizophrenia
ZC3H12B	schizophrenia
GAS7	schizophrenia
ZNF547	schizophrenia
AMOTL1	schizophrenia
NRXN2	schizophrenia
IL7R	schizophrenia
RFX1	schizophrenia
ARSD	schizophrenia
NLGN4X	schizophrenia
CTNNAL1	schizophrenia
SIGLEC6	schizophrenia
ZNF8	schizophrenia
XIRP2	schizophrenia
USP13	schizophrenia
KIAA1551	schizophrenia
ZNF777	schizophrenia
MCHR2	schizophrenia
RBP2	schizophrenia
RADIL	schizophrenia
PPP3CA	schizophrenia
CSDE1	schizophrenia
GRIK3	schizophrenia
PPCS	schizophrenia
EZR	schizophrenia
ATL1	schizophrenia
MYLK4	schizophrenia
GBAS	schizophrenia
